TOA5,MONALISA_domef1500 router IP,CR1000,E8813,CR1000.Std.27.04,CPU:171108_MONALISA Router Station - Hourly.CR1,29465,MeteoVal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Batt_V_Avg,Log_T_Avg,SWC_P_02_Avg,SWC_P_02_Std,SWC_WC_02_Avg,SWC_WC_02_Std,SWC_ST_02_Avg,SWC_ST_02_Std,SWC_P_05_Avg,SWC_P_05_Std,SWC_WC_05_Avg,SWC_WC_05_Std,SWC_ST_05_Avg,SWC_ST_05_Std,SWC_P_20_Avg,SWC_P_20_Std,SWC_WC_20_Avg,SWC_WC_20_Std,SWC_ST_20_Avg,SWC_ST_20_Std,PAR_Up_Avg,PAR_Up_Std,PAR_Soil_Avg,PAR_Soil_Std,NDVI_Up_Red_Avg,NDVI_Up_Red_Std,NDVI_Up_NIR_Avg,NDVI_Up_NIR_Std,NDVI_Dn_Red_Avg,NDVI_Dn_Red_Std,NDVI_Dn_NIR_Avg,NDVI_Dn_NIR_Std,NDVI_Ind1_Avg,NDVI_Ind2_Avg,NDVI_Avg,NDVI_Std,PRI_Up_Green_Avg,PRI_Up_Green_Std,PRI_Up_Yellow_Avg,PRI_Up_Yellow_Std,PRI_Dn_Green_Avg,PRI_Dn_Green_Std,PRI_Dn_Yellow_Avg,PRI_Dn_Yellow_Std,PRI_Ind1_Avg,PRI_Ind2_Avg,PRI_Avg,PRI_Std
TS,RN,Volts,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,unitless,unitless,m^3/m^3,m^3/m^3,Deg C,Deg C,umol/m2s1,umol/m2s1,umol/m2s1,umol/m2s1,W/m^2 nm,W/m^2 nm,W/m^2 nm,W/m^2 nm,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,,,,,W/m^2 nm,W/m^2 nm,W/m^2 nm,W/m^2 nm,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,W/m^2 nm sr,,,,
,,Avg,Avg,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Avg,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Avg,Avg,Std
2017-11-08 17:15,0,12.88,3.298,41.47162,0.001,0.5187,0,2.866,0.007,39.83883,0.001,0.509275,0,3.28,0.016,30.1234,0.031,0.44505,0,5.14,0.017,0,0,-3.39,0,0,0,0.000175,0,7.50E-05,0,1.00E-04,0,2,1,NA,NA,0.00075,0.001,0.000825,0.001,2.50E-05,0,0,0,2,1,NA,NA
2017-11-08 17:30,1,12.95,2.909,41.47174,0.001,0.5187,0,2.864,0.024,39.8387,0.001,0.50928,0,3.284,0.013,30.15414,0.001,0.4453,0,5.132,0.023,0,0,-3.39,0,2.00E-05,0,7.33E-05,0,7.33E-05,0,5.33E-05,0,2,1,NA,NA,0.001226667,0.001,0.000693333,0.001,8.67E-05,0,3.33E-05,0,2,1,NA,NA
2017-11-08 17:45,2,12.94,2.582,41.4716,0.001,0.5187,0,2.865,0.027,39.83888,0.001,0.5092866,0,3.283,0.013,30.19493,0.029,0.4456333,0,5.123,0.015,0,0,-3.39,0,0,0,0.000146667,0,6.00E-05,0,5.33E-05,0,2,1,NA,NA,0.000913333,0.001,0.00052,0.001,0.00014,0,6.67E-06,0,2,1,NA,NA
2017-11-08 18:00,3,12.93,2.463,41.47192,0.002,0.5187067,0,2.859,0.018,39.83928,0.001,0.5092933,0,3.284,0.011,30.21531,0.001,0.4458,0,5.121,0.017,0,0,-3.39,0,6.67E-06,0,9.33E-05,0,2.00E-05,0,2.67E-05,0,2,1,NA,NA,0.001006667,0.001,0.00042,0.001,0.000126667,0,2.67E-05,0,2,1,NA,NA
2017-11-08 18:15,4,12.84,2.272,41.49933,0.034,0.51886,0,2.871,0.023,39.88433,0.032,0.5095466,0,3.278,0.015,30.25222,0.03,0.4460533,0,5.123,0.019,0,0,-3.391,0,0,0,5.33E-05,0,1.00E-04,0,3.33E-05,0,2,1,NA,NA,0.001206667,0.001,7.00E-04,0.001,0.000126667,0,2.67E-05,0,2,1,NA,NA
2017-11-08 18:30,5,12.9,2,41.54045,0.002,0.5191,0,2.861,0.025,39.90709,0.001,0.50968,0,3.278,0.017,30.27682,0.001,0.44622,0,5.118,0.017,0,0,-3.391,0,2.00E-05,0,5.33E-05,0,4.00E-05,0,3.33E-05,0,2,1,NA,NA,0.00084,0.001,0.00074,0.001,8.67E-05,0,5.33E-05,0,2,1,NA,NA
2017-11-08 18:45,6,12.91,2.081,41.5359,0.017,0.5190733,0,2.867,0.028,39.90705,0.001,0.50968,0,3.277,0.012,30.31369,0.03,0.4465066,0,5.119,0.019,0,0,-3.391,0,6.67E-06,0,6.67E-05,0,0.000113333,0,2.67E-05,0,2,1,NA,NA,0.002126667,0.001,0.00054,0.001,6.67E-05,0,3.33E-05,0,2,1,NA,NA
2017-11-08 19:00,7,12.89,2.216,41.52199,0.03,0.5189933,0,2.87,0.016,39.90654,0.001,0.50968,0,3.265,0.021,30.33821,0.001,0.4467,0,5.103,0.015,0,0,-3.391,0,1.33E-05,0,1.00E-04,0,4.67E-05,0,6.00E-05,0,2,1,NA,NA,0.00118,0.001,0.000793333,0.001,6.67E-05,0,4.00E-05,0,2,1,NA,NA
