TOA5,LTER_M4_snow IP,CR1000,E9183,CR1000.Std.27.04,CPU:LTER - M4_Snow - 170802.CR1,4385,M4_snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Batt_V_Avg,T_Log_Avg,Wind_Dir,Wind_Speed_Avg,Wind_Speed_Max,Wind_Speed_Std,Wind_SmplsF_Tot,Wind_Diag1F_Tot,Wind_Diag2F_Tot,Wind_Diag4F_Tot,Wind_Diag8F_Tot,Wind_Diag9F_Tot,Wind_Diag10F_Tot,Wind_NNDF_Tot,T_Air_Avg,T_Air_Std,RH,RH_Std,Precip_W_Int60_Avg,Precip_W_Int60_Std,Precip_W_Int60_Max,Precip_W_Int15_Tot,Precip_W_Int15_NRT_Tot,Precip_W_Int15_CK,Precip_W_BucketCont,Precip_W_BucketCont_NRT,Precip_W_Pluvio_Level,Precip_W_T_Cell_Avg,Precip_W_T_Cell_Std,Precip_W_T_ElectricUnit_Avg,Precip_W_T_ElectricUnit_Std,Precip_W_T_HeatRim_Avg,Precip_W_T_HeatRim_Std,Precip_W_SupplyV_Avg,Precip_W_SupplyV_Std,Precip_W_PluvioStat,Precip_W_HeatStat,SR50A_SnowDist0,SR50A_SnowDist0_Std,SR50A_SnowDepth,SR50A_SnowDepth_Std,SR50A_QualityVal,SR50A_QualityVal_Std,PAR_Tot_Avg,PAR_Tot_Std,PAR_Dif_Avg,PAR_Dif_Std,Sun_Count_Tot
TS,RN,Volts,Deg C,degrees,meters/Second,meters/Second,meters/Second,,,,,,,,,Deg C,Deg C,%,%,mm/h,mm/h,mm/h,mm/15min,mm/15min,mm,lt,lt,%,Deg C,Deg C,Deg C,Deg C,Deg C,Deg C,Volts,Volts,,,m,m,m,m,,,umol/m^2s^1,umol/m^2s^1,umol/m^2s^1,umol/m^2s^1,min
,,Avg,Avg,Smp,Avg,Max,Std,Tot,Tot,Tot,Tot,Tot,Tot,Tot,Tot,Avg,Std,Smp,Std,Avg,Std,Max,Tot,Tot,Smp,Smp,Smp,Smp,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Smp,Smp,Smp,Std,Smp,Std,Smp,Std,Avg,Std,Avg,Std,Tot
1508160600,7197,12.61,24.79,221,2.281,3.56,0.576,15,0,0,0,0,0,0,0,17.85,0.107,30.19,1.2,0,0,0,0,0,0.18,5.188,5.189,17.3,20.25,0.088,20.78,0.04,25.56,0.08,12.6,0,0,0,1.985,0.002552544,0.01151538,0.002608392,202,3.774,891,18.87,96.7,0.766,15
1508161500,7198,12.62,24.74,229,2.256,3.57,0.591,15,0,0,0,0,0,0,0,17.86,0.153,32.04,1.302,0,0,0,0,0,0.18,5.188,5.188,17.29,20.2,0.082,20.65,0.05,25.57,0.068,12.6,0,0,0,1.983,0.001496672,0.01196194,0.001900507,204,2.351,837,12.25,94.2,0.82,15
1508162400,7199,12.63,24.93,231,1.775,2.65,0.473,15,0,0,0,0,0,0,0,17.9,0.173,33.99,1.058,0,0,0,0,0,0.18,5.186,5.187,17.29,20.27,0.114,20.76,0.049,25.83,0.249,12.6,0,0,0,1.979,0.001961869,0.01681042,0.002288946,217,3.525,778.5,19.66,91.2,1.089,15
1508163300,7200,12.63,25.01,222,2.115,3.04,0.534,15,0,0,0,0,0,0,0,17.77,0.09,33.94,0.811,0,0,0,0,0,0.18,5.185,5.186,17.29,20.27,0.068,20.73,0.047,25.39,0.209,12.6,0,0,0,1.985,0.002227108,0.01151538,0.002119127,216,4.224,705.6,21.55,88.9,0.83,15
1508164200,7201,12.62,25.05,232,1.471,2.4,0.515,15,0,0,0,0,0,0,0,17.49,0.155,34.77,0.677,0,0,0,0,0,0.18,5.184,5.184,17.28,20.24,0.114,20.62,0.04,24.85,0.088,12.6,0,0,0,1.992,0.004809269,0.005555868,0.004898005,197,4.123,625.9,24.44,86.2,1.36,15
1508165100,7202,12.62,25.21,185,1.551,2.85,0.676,15,0,0,0,0,0,0,0,17.05,0.182,37.75,0.981,0,0,0,0,0,0.18,5.183,5.183,17.28,20.12,0.105,20.4,0.115,24.5,0.32,12.59,0.025,0,0,1.993,0.002694858,0.00639677,0.002653254,196,6.789,539.6,25.33,81,2.293,15
1508166000,7203,12.62,25.34,258,1.199,2.14,0.462,15,0,0,0,0,0,0,0,17.15,0.16,37.29,0.581,0,0,0,0,0,0.18,5.182,5.182,17.27,20.03,0.101,20.11,0.034,23.83,0.1,12.6,0,0,0,1.999,0.00279999,-0.00135994,0.003056806,202,8.52,453.8,23.99,73.63,2.493,15
1508166900,7204,12.62,25.46,112,0.816,1.4,0.314,15,0,0,0,0,0,0,0,16.94,0.154,39.79,1.052,0,0,0,0,0,0.18,5.181,5.181,17.27,19.89,0.072,20.2,0,23.87,0.224,12.59,0.034,0,0,2.015,0.005662377,-0.01608515,0.005525463,184,7.606,366.6,26.48,65.88,2.486,15
1508167800,7205,12.59,25.14,71,1.023,1.62,0.364,15,0,0,0,0,0,0,0,16.35,1.135,52.49,3.594,0,0,0,0,0,0.18,5.18,5.18,17.27,19.75,0.225,19.66,0.47,21.37,1.842,12.59,0.025,0,0,2.017,0.002612799,-0.0150373,0.004286514,177,3.065,88.4,59.56,53.54,3.424,7
1508168700,7206,12.61,23.41,68,1.465,1.99,0.25,15,0,0,0,0,0,0,0,12.85,0.961,53.1,0.346,0,0,0,0,0,0.18,5.179,5.179,17.26,18.64,0.429,17.23,0.887,14.43,1.618,12.58,0.04,0,0,2.027,0.003442211,-0.01004243,0.002467155,181,6.361,44.6,2.461,44.07,2.462,0
1508169600,7207,12.62,21.2,68,1.467,2.39,0.384,15,0,0,0,0,0,0,0,11.73,0.112,52.15,0.708,0,0,0,0,0,0.18,5.178,5.178,17.26,16.79,0.607,14.51,0.596,10.82,0.699,12.57,0.047,0,0,2.029,0.001641121,-0.01170254,0.00166112,177,5.005,34.74,3.042,34.42,3.044,0
1508170500,7208,12.62,19.05,71,0.852,1.37,0.273,15,0,0,0,0,0,0,0,11.71,0.287,55.88,1.432,0,0,0,0,0,0.18,5.176,5.176,17.25,15.02,0.45,12.95,0.361,9.27,0.437,12.56,0.049,0,0,2.035,0.002080607,-0.01851439,0.002820078,176,3.754,22.55,3.63,22.77,3.511,0
1508171400,7209,12.6,17.16,70,1.072,1.47,0.173,15,0,0,0,0,0,0,0,11.53,0.966,60.8,1.749,0,0,0,0,0,0.18,5.174,5.175,17.25,13.6,0.36,11.7,0.378,7.9,0.453,12.56,0.049,0,0,2.037,0.001247231,-0.01792455,0.003717629,185,5.347,9.96,3.45,10.53,3.371,0
1508172300,7210,12.61,15.45,67,1.303,1.76,0.316,15,0,0,0,0,0,0,0,11.35,0.242,54.76,1.532,0,0,0,0,0,0.18,5.172,5.173,17.24,12.35,0.374,10.45,0.307,7,0.245,12.56,0.049,0,0,2.04,0.00104562,-0.02031684,0.000814085,180,4.176,1.75,1.273,2.727,1.098,0
1508173200,7211,12.6,13.96,81,1.322,2.25,0.447,15,0,0,0,0,0,0,0,10.85,0.367,59.18,1.47,0,0,0,0,0,0.18,5.17,5.17,17.23,11.31,0.225,9.69,0.144,6.593,0.148,12.56,0.061,0,0,2.042,0.0009568426,-0.02657104,0.00209276,176,5.524,0.307,0.128,1.705,0,0
1508174100,7212,12.61,12.67,69,1.487,2.52,0.518,15,0,0,0,0,0,0,0,11.27,0.155,54.04,1.852,0,0,0,0,0,0.18,5.168,5.168,17.23,10.5,0.239,9.15,0.154,6.2,0.2,12.53,0.047,0,0,2.041,0.00162755,-0.0220871,0.001593039,188,4.64,0.341,0,1.694,0.043,0
1508175000,7213,12.6,11.61,54,0.926,1.46,0.383,15,0,0,0,0,0,0,0,10.99,0.326,56.19,1.355,0,0,0,0,0,0.18,5.166,5.166,17.22,9.84,0.189,8.78,0.091,5.887,0.209,12.55,0.05,0,0,2.043,0.001591659,-0.02250552,0.001782352,188,3.82,0.341,0,1.694,0.075,0
1508175900,7214,12.61,10.73,76,1.441,1.94,0.348,15,0,0,0,0,0,0,0,11.53,1.332,58.43,2.137,0,0,0,0,0,0.18,5.164,5.165,17.22,9.39,0.175,8.4,0.141,5.333,0.249,12.54,0.061,0,0,2.045,0.001577648,-0.02469444,0.005534702,185,3.574,0.341,0,1.694,0.043,0
1508176800,7215,12.61,9.96,55,1.543,2.1,0.372,15,0,0,0,0,0,0,0,10.48,0.112,55.59,0.815,0,0,0,0,0,0.18,5.163,5.163,17.21,8.81,0.157,7.973,0.077,4.967,0.17,12.55,0.05,0,0,2.046,0.001146993,-0.0245266,0.001246427,172,5.795,0.341,0,1.694,0.043,0
1508177700,7216,12.61,9.3,72,1.278,1.78,0.384,15,0,0,0,0,0,0,0,10.5,0.117,56.06,0.672,0,0,0,0,0,0.18,5.161,5.162,17.21,8.39,0.186,7.827,0.044,4.967,0.17,12.53,0.047,0,0,2.048,0.001796321,-0.02763128,0.001770982,174,5.87,0.341,0,1.706,0,0
1508178600,7217,12.6,8.8,66,1.072,2.09,0.469,15,0,0,0,0,0,0,0,10.05,0.202,54.29,1.014,0,0,0,0,0,0.18,5.16,5.16,17.2,8.16,0.189,7.673,0.068,4.833,0.094,12.54,0.061,0,0,2.047,0.001181358,-0.02392602,0.001235282,177,5.62,0.341,0,1.694,0.043,0
1508179500,7218,12.6,8.37,62,1.199,2.06,0.274,15,0,0,0,0,0,0,0,9.77,0.079,52.03,0.773,0,0,0,0,0,0.18,5.158,5.159,17.2,7.867,0.135,7.513,0.034,4.7,0,12.55,0.062,0,0,2.047,0.001181335,-0.02356267,0.001235316,177,4.509,0.307,0.128,1.706,0,0
1508180400,7219,12.6,8,73,1.368,2.16,0.393,15,0,0,0,0,0,0,0,9.6,0.153,52.46,0.761,0,0,0,0,0,0.18,5.157,5.157,17.19,7.607,0.241,7.4,0,4.6,0.2,12.54,0.061,0,0,2.05,0.002800014,-0.02517462,0.002980627,176,4.437,0.341,0,1.695,0.043,0
1508181300,7220,12.6,7.679,52,1.324,2.16,0.403,15,0,0,0,0,0,0,0,8.93,0.16,51.64,1.432,0,0,0,0,0,0.18,5.156,5.156,17.19,7.5,0.245,7.22,0.083,4.367,0.236,12.55,0.05,0,0,2.044,0.002708051,-0.01681876,0.002621592,168,5.459,0.307,0.128,1.706,0,0
1508182200,7221,12.59,7.4,84,1.227,1.93,0.457,15,0,0,0,0,0,0,0,9.33,0.106,53.74,1.647,0,0,0,0,0,0.18,5.155,5.155,17.18,7.293,0.241,6.96,0.061,4.187,0.05,12.53,0.047,0,0,2.038,0.003021398,-0.0119319,0.003283906,203,9.06,0.341,0,1.695,0.043,0
1508183100,7222,12.62,7.145,58,1.463,2.15,0.327,15,0,0,0,0,0,0,0,11.64,1.246,53.5,2.114,0,0,0,0,0,0.18,5.154,5.154,17.18,6.893,0.134,6.687,0.096,4,0,12.55,0.05,0,0,2.048,0.003295825,-0.03407836,0.004419303,176,4.044,0.341,0,1.695,0.043,0
1508184000,7223,12.6,6.911,57,1.488,2.38,0.49,15,0,0,0,0,0,0,0,11.77,0.391,51.8,1.885,0,0,0,0,0,0.18,5.153,5.153,17.18,6.773,0.165,6.487,0.072,4,0,12.55,0.05,0,0,2.045,0.003220764,-0.02907991,0.003584041,180,7.038,0.307,0.128,1.695,0.043,0
1508184900,7224,12.62,6.674,69,1.563,2.17,0.417,15,0,0,0,0,0,0,0,11.64,0.221,54.26,0.712,0,0,0,0,0,0.18,5.152,5.152,17.17,6.593,0.184,6.447,0.05,4.027,0.068,12.51,0.05,0,0,2.047,0.003295786,-0.02905679,0.00313447,176,6.655,0.341,0,1.695,0.043,0
1508185800,7225,12.61,6.507,63,1.706,3,0.486,15,0,0,0,0,0,0,0,12.3,0.627,55.25,1.052,0,0,0,0,0,0.18,5.151,5.151,17.17,6.493,0.161,6.34,0.049,3.933,0.17,12.55,0.05,0,0,2.041,0.002694884,-0.02773738,0.002426721,185,5.312,0.341,0,1.695,0.043,0
1508186700,7226,12.6,6.347,59,1.821,2.62,0.339,15,0,0,0,0,0,0,0,12.71,0.321,55.01,0.515,0,0,0,0,0,0.18,5.15,5.15,17.17,6.373,0.177,6.207,0.025,3.967,0.125,12.51,0.136,0,0,2.041,0.001842709,-0.0246191,0.002378043,183,3.896,0.375,0.092,1.695,0.043,0
1508187600,7227,12.6,6.208,30,1.641,2.77,0.559,15,0,0,0,0,0,0,0,12.84,0.311,53.73,0.511,0,0,0,0,0,0.18,5.149,5.149,17.16,6.227,0.165,6.2,0,4,0,12.51,0.068,0,0,2.043,0.002707993,-0.03103042,0.003176841,185,5.416,0.318,0.137,1.706,0,0
1508188500,7228,12.61,6.073,51,1.727,2.54,0.505,15,0,0,0,0,0,0,0,12.67,0.697,57.09,1.332,0,0,0,0,0,0.18,5.148,5.148,17.16,6.127,0.106,6.167,0.047,3.933,0.17,12.55,0.05,0,0,2.046,0.002503346,-0.03091621,0.003816267,176,5.046,0.341,0,1.706,0,0
1508189400,7229,12.6,5.953,91,1.713,2.41,0.473,15,0,0,0,0,0,0,0,11.76,0.224,55.04,1.035,0,0,0,0,0,0.18,5.147,5.147,17.16,6.02,0.204,6.1,0,3.967,0.125,12.57,0.047,0,0,2.039,0.00264492,-0.02220511,0.003078835,191,6.831,0.341,0,1.706,0,0
1508190300,7230,12.58,5.859,63,1.542,2.98,0.572,15,0,0,0,0,0,0,0,11.01,0.356,51.39,1.512,0,0,0,0,0,0.18,5.146,5.146,17.15,5.98,0.312,6.04,0.049,3.933,0.17,12.51,0.044,0,0,2.04,0.004161207,-0.02247524,0.003860102,180,6.119,0.341,0,1.706,0,0
1508191200,7231,12.6,5.79,33,1.298,2.2,0.404,15,0,0,0,0,0,0,0,11.06,0.298,51.14,1.22,0,0,0,0,0,0.18,5.145,5.146,17.15,5.887,0.287,6.067,0.047,3.933,0.17,12.53,0.057,0,0,2.043,0.002072023,-0.02342796,0.002220404,188,5.252,0.341,0,1.695,0.043,0
1508192100,7232,12.6,5.716,69,1.357,2.43,0.457,15,0,0,0,0,0,0,0,10.54,0.362,52.61,1.728,0,0,0,0,0,0.18,5.145,5.145,17.15,5.773,0.37,6.08,0.04,3.867,0.221,12.53,0.077,0,0,2.046,0.003517586,-0.02428818,0.003191661,177,5.612,0.307,0.128,1.706,0,0
1508193000,7233,12.6,5.645,69,1.358,2.19,0.352,15,0,0,0,0,0,0,0,10.92,0.462,50.73,1.072,0,0,0,0,0,0.18,5.144,5.144,17.15,5.807,0.161,5.9,0.073,3.833,0.236,12.55,0.05,0,0,2.043,0.002028691,-0.02211905,0.002093086,180,3.978,0.341,0,1.706,0,0
1508193900,7234,12.6,5.557,35,1.424,2.28,0.555,15,0,0,0,0,0,0,0,10.72,0.327,52.85,1.318,0,0,0,0,0,0.18,5.144,5.144,17.15,5.54,0.273,5.7,0.082,3.833,0.236,12.51,0.034,0,0,2.047,0.002184831,-0.02607465,0.002724632,171,4.662,0.341,0,1.695,0.043,0
1508194800,7235,12.61,5.451,51,1.415,2.27,0.404,15,0,0,0,0,0,0,0,10.17,0.415,51.57,0.454,0,0,0,0,0,0.18,5.143,5.143,17.14,5.32,0.16,5.513,0.05,3.867,0.221,12.5,0.082,0,0,2.043,0.001806211,-0.02099991,0.00200177,177,3.816,0.341,0,1.706,0,0
1508195700,7236,12.62,5.32,75,1.559,2.15,0.309,15,0,0,0,0,0,0,0,10.21,0.384,52.49,0.619,0,0,0,0,0,0.18,5.142,5.143,17.14,5.293,0.188,5.4,0,3.833,0.236,12.53,0.106,0,0,2.047,0.001289262,-0.02432084,0.001971025,179,3.878,0.364,0.085,1.706,0,0
1508196600,7237,12.56,5.205,64,1.455,2.24,0.399,15,0,0,0,0,0,0,0,9.93,0.195,50.78,0.832,0,0,0,0,0,0.18,5.142,5.142,17.14,5.16,0.08,5.313,0.034,3.867,0.221,12.54,0.061,0,0,2.048,0.002743889,-0.02502608,0.002584033,176,4.08,0.341,0,1.706,0,0
1508197500,7238,12.62,5.11,82,1.671,2.67,0.447,15,0,0,0,0,0,0,0,9.62,0.261,50.39,0.785,0,0,0,0,0,0.18,5.141,5.141,17.14,5.027,0.148,5.2,0,3.833,0.236,12.57,0.047,0,0,2.051,0.002552588,-0.0265696,0.002636982,171,3.824,0.341,0,1.706,0,0
1508198400,7239,12.63,5.012,71,1.517,2.05,0.43,15,0,0,0,0,0,0,0,9.65,0.274,47.32,0.991,0,0,0,0,0,0.18,5.14,5.14,17.13,4.907,0.267,5.133,0.047,3.9,0.2,12.53,0.044,0,0,2.045,0.002180726,-0.01927185,0.002264219,181,4.697,0.341,0,1.706,0,0
1508199300,7240,12.61,4.916,61,1.507,2.44,0.472,15,0,0,0,0,0,0,0,9.54,0.313,52.87,1.418,0,0,0,0,0,0.18,5.14,5.14,17.13,4.947,0.141,5.187,0.034,3.767,0.249,12.47,0.144,0,0,2.049,0.002799996,-0.02126074,0.002934888,172,3.229,0.341,0,1.706,0,0
1508200200,7241,12.62,4.853,82,1.251,2.26,0.435,15,0,0,0,0,0,0,0,9.65,0.186,48.75,0.972,0,0,0,0,0,0.18,5.139,5.139,17.13,4.927,0.177,5.1,0,3.8,0.245,12.54,0.049,0,0,2.045,0.003200019,-0.02115583,0.003187087,185,4.884,0.341,0,1.706,0,0
1508201100,7242,12.62,4.823,65,1.635,2.76,0.594,15,0,0,0,0,0,0,0,9.52,0.204,50.63,1.794,0,0,0,0,0,0.18,5.138,5.138,17.13,4.8,0.097,5.127,0.044,3.833,0.236,12.5,0.089,0,0,2.048,0.003438358,-0.02326608,0.003302552,175,4.392,0.341,0,1.706,0,0
1508202000,7243,12.63,4.789,43,1.113,1.91,0.393,15,0,0,0,0,0,0,0,9.79,0.225,46.08,2.128,0,0,0,0,0,0.18,5.137,5.138,17.13,4.753,0.15,5.12,0.04,3.833,0.236,12.54,0.049,0,0,2.045,0.003234543,-0.02103043,0.003170097,176,4.872,0.341,0,1.695,0.043,0
1508202900,7244,12.62,4.771,24,1.103,1.86,0.452,15,0,0,0,0,0,0,0,9.85,0.328,46.84,0.881,0,0,0,0,0,0.18,5.137,5.137,17.12,4.76,0.193,5.26,0.049,3.867,0.221,12.53,0.057,0,0,2.043,0.002895226,-0.01805425,0.002806677,184,3.296,0.341,0,1.706,0,0
1508203800,7245,12.58,4.771,62,0.945,1.64,0.36,15,0,0,0,0,0,0,0,9.28,0.369,42.97,1.64,0,0,0,0,0,0.18,5.136,5.136,17.12,4.8,0.167,5.227,0.044,3.833,0.236,12.52,0.075,0,0,2.046,0.002166409,-0.01934552,0.00228559,180,3.193,0.364,0.058,1.706,0,0
1508204700,7246,12.58,4.752,321,1.494,2.28,0.495,15,0,0,0,0,0,0,0,9.14,0.237,41.72,1.603,0,0,0,0,0,0.18,5.136,5.136,17.12,4.827,0.181,5.1,0,3.8,0.245,12.49,0.129,0,0,2.043,0.01117535,-0.01755214,0.01136647,176,33.79,0.341,0,1.706,0,0
1508205600,7247,12.59,4.726,65,1.109,1.81,0.418,15,0,0,0,0,0,0,0,9.49,0.666,46.48,3.342,0,0,0,0,0,0.18,5.135,5.135,17.12,4.733,0.153,5.08,0.04,3.767,0.249,12.5,0.082,0,0,2.05,0.004338967,-0.02699924,0.005797669,172,13.55,0.353,0.043,1.695,0.043,0
1508206500,7248,12.57,4.623,71,1.587,2.29,0.456,15,0,0,0,0,0,0,0,10.68,0.229,48.4,1.029,0,0,0,0,0,0.18,5.134,5.135,17.12,4.567,0.094,4.867,0.07,3.667,0.236,12.5,0.097,0,0,2.052,0.002227132,-0.03199267,0.002411427,171,5.115,0.341,0,1.695,0.043,0
1508207400,7249,12.6,4.532,60,1.293,2.53,0.494,15,0,0,0,0,0,0,0,10.73,0.325,44.86,1.52,0,0,0,0,0,0.18,5.134,5.134,17.11,4.4,0.163,4.7,0,3.833,0.236,12.54,0.061,0,0,2.043,0.005676493,-0.0217526,0.005780202,180,13.38,0.341,0,1.729,0.058,0
1508208300,7250,12.61,4.477,58,1.06,1.9,0.364,15,0,0,0,0,0,0,0,11.22,0.305,42.95,0.854,0,0,0,0,0,0.18,5.133,5.134,17.11,4.273,0.124,4.7,0,3.8,0.245,12.51,0.1,0,0,2.047,0.002936351,-0.02733541,0.002685179,184,6.398,0.375,0.128,1.706,0,0
1508209200,7251,12.6,4.419,73,1.687,2.71,0.648,15,0,0,0,0,0,0,0,9.95,0.362,46.76,1.046,0,0,0,0,0,0.18,5.133,5.133,17.11,4.173,0.181,4.607,0.068,3.667,0.236,12.5,0.073,0,0,2.051,0.001961839,-0.02883387,0.002728618,179,5.302,0.307,0.128,1.706,0,0
1508210100,7252,12.61,4.287,73,2.112,2.51,0.34,15,0,0,0,0,0,0,0,10.48,0.36,45.05,0.61,0,0,0,0,0,0.18,5.132,5.132,17.11,4.1,0.097,4.413,0.034,3.667,0.236,12.47,0.1,0,0,2.052,0.002848775,-0.03111672,0.003007033,175,8.16,0.341,0,1.718,0.043,0
1508211000,7253,12.6,4.208,76,1.767,2.85,0.652,15,0,0,0,0,0,0,0,10.67,0.313,39.97,1.961,0,0,0,0,0,0.18,5.131,5.132,17.11,4.027,0.211,4.413,0.034,3.8,0.245,12.55,0.05,0,0,2.044,0.005302437,-0.02378249,0.005745455,185,12.02,0.341,0,1.707,0,0
1508211900,7254,12.6,4.196,86,0.994,1.98,0.457,15,0,0,0,0,0,0,0,10.03,0.293,42.46,1.236,0,0,0,0,0,0.18,5.13,5.13,17.1,4.04,0.158,4.56,0.049,3.767,0.249,12.51,0.096,0,0,2.05,0.00329037,-0.02694392,0.003191292,181,9.18,0.353,0.043,1.695,0.043,0
1508212800,7255,12.62,4.196,30,1.599,2.75,0.624,15,0,0,0,0,0,0,0,9.05,0.31,39.78,1.418,0,0,0,0,0,0.18,5.13,5.13,17.1,4.113,0.141,4.6,0,3.767,0.249,12.53,0.057,0,0,2.049,0.005482927,-0.02208161,0.00556813,185,14.81,0.341,0,1.707,0,0
1508213700,7256,12.58,4.142,71,1.137,2.05,0.423,15,0,0,0,0,0,0,0,9.14,0.323,38.69,1.236,0,0,0,0,0,0.18,5.129,5.129,17.1,4.1,0.258,4.58,0.04,3.767,0.249,12.51,0.057,0,0,2.048,0.00696339,-0.02346325,0.007185372,175,21.08,0.341,0,1.695,0.043,0
1508214600,7257,12.49,4.127,71,1.053,1.74,0.415,15,0,0,0,0,0,0,0,8.99,0.295,41.2,1.478,0,0,0,0,0,0.18,5.128,5.129,17.1,4.007,0.177,4.6,0,3.733,0.249,12.54,0.08,0,0,2.051,0.00913943,-0.02316952,0.009294767,184,25,0.307,0.128,1.684,0.058,0
1508215500,7258,12.49,4.123,75,1.138,2.73,0.555,15,0,0,0,0,0,0,0,8.76,0.245,42.51,2.12,0,0,0,0,0,0.18,5.128,5.128,17.09,3.98,0.122,4.5,0,3.7,0.245,12.49,0.057,0,0,2.05,0.004234275,-0.02158976,0.003807927,179,5.879,0.307,0.128,1.684,0.058,0
1508216400,7259,12.61,4.092,69,1.432,2.55,0.675,15,0,0,0,0,0,0,0,8.29,0.336,37.13,1.939,0,0,0,0,0,0.18,5.128,5.128,17.09,3.993,0.161,4.433,0.047,3.633,0.221,12.54,0.061,0,0,2.048,0.00590893,-0.02131772,0.005851082,184,12.65,0.375,0.092,1.684,0.085,0
1508217300,7260,12.61,4.027,40,1.108,2.97,0.597,15,0,0,0,0,0,0,0,8.72,0.197,35.84,1.829,0,0,0,0,0,0.18,5.127,5.127,17.09,3.873,0.153,4.4,0,3.733,0.249,12.52,0.054,0,0,2.049,0.005044701,-0.02264857,0.005077416,175,8.15,0.341,0,1.695,0.043,0
1508218200,7261,12.61,4.025,32,1.045,1.83,0.486,15,0,0,0,0,0,0,0,8.82,0.333,35.62,1.495,0,0,0,0,0,0.18,5.126,5.126,17.09,3.82,0.214,4.447,0.05,3.767,0.249,12.47,0.044,0,0,2.044,0.004415107,-0.0178256,0.00474377,181,7.56,0.66,0.457,1.889,0.302,0
1508219100,7262,12.55,4.074,49,1.068,1.66,0.331,15,0,0,0,0,0,0,0,9.47,0.227,35.91,0.715,0,0,0,0,0,0.18,5.126,5.126,17.09,3.96,0.08,4.587,0.072,3.767,0.249,12.49,0.12,0,0,2.048,0.005200868,-0.02264309,0.005089886,176,12.41,4.881,2.104,5.791,2.034,0
1508220000,7263,12.59,4.142,45,0.933,1.48,0.323,15,0,0,0,0,0,0,0,9.84,0.229,36.96,1.116,0,0,0,0,0,0.18,5.125,5.125,17.08,4.053,0.212,4.72,0.04,3.8,0.245,12.5,0.089,0,0,2.034,0.004144083,-0.01164818,0.004401396,196,10.59,15.43,3.226,16.2,3.23,0
1508220900,7264,12.59,4.189,46,1.152,1.92,0.486,15,0,0,0,0,0,0,0,9.95,0.223,44.3,1.75,0,0,0,0,0,0.18,5.125,5.125,17.08,4.1,0.11,4.8,0,3.7,0.245,12.5,0.089,0,0,2.047,0.00743145,-0.02325988,0.007686327,175,25.49,25.18,2.373,25.68,2.458,0
1508221800,7265,12.61,4.248,70,1.533,2.85,0.639,15,0,0,0,0,0,0,0,8.67,0.593,41.79,2.063,0,0,0,0,0,0.18,5.124,5.124,17.08,4.187,0.186,4.727,0.077,3.7,0.245,12.48,0.105,0,0,2.044,0.004975516,-0.0154264,0.005119105,185,4.815,31.58,2.246,32.15,2.236,0
1508222700,7266,12.62,4.256,88,1.448,2.07,0.428,15,0,0,0,0,0,0,0,8.37,0.201,43.23,0.768,0,0,0,0,0,0.18,5.124,5.124,17.08,4.06,0.14,4.533,0.047,3.7,0.245,12.51,0.093,0,0,2.044,0.0027374,-0.01479936,0.002626687,190,3.72,37.54,1.474,37.72,1.414,0
1508223600,7267,12.63,4.249,39,1.404,2.96,0.599,15,0,0,0,0,0,0,0,8.27,0.221,42.41,1.408,0,0,0,0,0,0.18,5.124,5.124,17.08,3.987,0.193,4.5,0,3.7,0.245,12.55,0.05,0,0,2.039,0.002215103,-0.01010227,0.002189145,189,5.214,41.15,0.668,41.26,0.692,0
1508224500,7268,12.6,4.204,91,1.147,1.84,0.395,15,0,0,0,0,0,0,0,8.52,0.169,42.29,1.349,0,0,0,0,0,0.18,5.123,5.123,17.08,3.953,0.102,4.5,0,3.767,0.249,12.51,0.044,0,0,2.045,0.002970952,-0.0173285,0.00295051,185,5.221,44.39,1.333,44.35,1.575,0
1508225400,7269,12.61,4.212,70,1.497,2.7,0.577,15,0,0,0,0,0,0,0,8.3,0.211,42.65,1.715,0,0,0,0,0,0.18,5.122,5.122,17.07,3.973,0.184,4.5,0,3.767,0.249,12.45,0.109,0,0,2.039,0.002552549,-0.009978056,0.002528212,197,5.234,49.12,1.714,48.45,0.96,0
1508226300,7270,12.62,4.253,81,1.823,3.14,0.621,15,0,0,0,0,0,0,0,8.48,0.227,43.12,0.834,0,0,0,0,0,0.18,5.122,5.122,17.07,3.88,0.156,4.573,0.044,3.867,0.221,12.44,0.125,0,0,2.041,0.002694812,-0.0130136,0.002981844,189,6.855,58.62,3.303,54.65,2.786,0
1508227200,7271,12.6,4.328,75,1.799,2.39,0.413,15,0,0,0,0,0,0,0,8.54,0.118,43.4,0.745,0,0,0,0,0,0.18,5.121,5.121,17.07,3.967,0.174,4.72,0.054,3.8,0.245,12.53,0.07,0,0,2.04,0.001673284,-0.01137257,0.001753627,187,3.978,65.84,0.727,64.07,1.671,0
1508228100,7272,12.59,4.404,77,2.075,3.21,0.643,15,0,0,0,0,0,0,0,8.66,0.396,49.13,2.73,0,0,0,0,0,0.18,5.12,5.12,17.07,4.107,0.188,4.86,0.049,3.867,0.221,12.53,0.044,0,0,2.047,0.003359898,-0.01487899,0.003237222,184,3.544,68.25,1.547,67.63,1.256,0
