TOA5,HiResAlp_I3 IP,CR1000,E7549,CR1000.Std.27,CPU:I3_160923 - 9xSWC - modem .CR1,21874,MeteoVal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BattV_Avg,PTemp_C_Avg,SWC_02_A_Avg,SWC_02_A_Std,ST_02_A_Avg,ST_02_A_Std,SWC_02_B_Avg,SWC_02_B_Std,ST_02_B_Avg,ST_02_B_Std,SWC_02_C_Avg,SWC_02_C_Std,ST_02_C_Avg,ST_02_C_Std,SWC_05_A_Avg,SWC_05_A_Std,ST_05_A_Avg,ST_05_A_Std,SWC_05_B_Avg,SWC_05_B_Std,ST_05_B_Avg,ST_05_B_Std,SWC_05_C_Avg,SWC_05_C_Std,ST_05_C_Avg,ST_05_C_Std,SWC_20_A_Avg,SWC_20_A_Std,ST_20_A_Avg,ST_20_A_Std,SWC_20_B_Avg,SWC_20_B_Std,ST_20_B_Avg,ST_20_B_Std,SWC_20_C_Avg,SWC_20_C_Std,ST_20_C_Avg,ST_20_C_Std
TS,RN,Volts,Deg C,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg,Deg,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg C,Deg C,m^3/m^3,m^3/m^3,Deg,Deg
,,Avg,Avg,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std
2016-11-14 06:15,51537,12.78,-0.761,0.361,0,1.856,0.014,0.4,0,1.825,0.036,0.363,0,1.809,0.018,0.377,0,2.524,0.021,0.381,0,2.429,0.015,0.377,0,2.605,0.026,0.211,0,3.884,0.03,0.284,0,3.714,0.018,0.32,0,3.717,0.013
2016-11-14 06:30,51538,12.78,-0.779,0.361,0,1.827,0.013,0.4,0,1.805,0.02,0.363,0,1.8,0.04,0.377,0,2.506,0.016,0.381,0,2.402,0.017,0.377,0,2.595,0.014,0.211,0,3.895,0.028,0.284,0,3.706,0.02,0.32,0,3.712,0.028
2016-11-14 06:45,51539,12.82,-0.836,0.361,0,1.808,0.013,0.4,0,1.778,0.029,0.363,0,1.77,0.017,0.377,0,2.501,0.014,0.381,0,2.396,0.02,0.377,0,2.585,0.019,0.211,0,3.877,0.031,0.284,0,3.709,0.019,0.32,0,3.711,0.02
2016-11-14 07:00,51540,12.83,-1.008,0.361,0,1.8,0.012,0.399,0,1.769,0.018,0.362,0,1.755,0.023,0.377,0,2.483,0.025,0.381,0,2.383,0.025,0.377,0,2.578,0.022,0.211,0,3.875,0.035,0.284,0,3.711,0.017,0.32,0,3.697,0.015
2016-11-14 07:15,51541,12.77,-1.21,0.361,0,1.782,0.015,0.399,0,1.755,0.025,0.362,0,1.729,0.023,0.377,0,2.464,0.015,0.381,0,2.361,0.025,0.377,0,2.565,0.017,0.211,0,3.881,0.024,0.284,0,3.693,0.025,0.32,0,3.692,0.016
2016-11-14 07:30,51542,12.78,-1.391,0.36,0,1.762,0.013,0.399,0,1.732,0.026,0.362,0,1.688,0.036,0.377,0,2.454,0.013,0.381,0,2.35,0.023,0.377,0,2.555,0.021,0.211,0,3.877,0.038,0.284,0,3.688,0.026,0.32,0,3.685,0.024
2016-11-14 07:45,51543,12.85,-1.599,0.36,0,1.746,0.019,0.399,0,1.684,0.027,0.361,0,1.666,0.03,0.377,0,2.448,0.014,0.381,0,2.328,0.015,0.377,0,2.538,0.023,0.211,0,3.864,0.017,0.284,0,3.693,0.017,0.32,0,3.686,0.017
2016-11-14 08:00,51544,12.89,-1.867,0.36,0,1.72,0.019,0.399,0,1.668,0.023,0.361,0,1.64,0.024,0.377,0,2.425,0.015,0.38,0,2.31,0.021,0.377,0,2.522,0.028,0.211,0,3.883,0.033,0.283,0,3.686,0.022,0.32,0,3.677,0.018
